Type,Theme,Runner,DetailCode,count
notice,dark,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,light,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,material-darker,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94959
notice,material-darker,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,horizon,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94959
notice,horizon,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,darcula,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94959
notice,darcula,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,solarized,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94959
notice,solarized,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",94959
notice,light,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2,94949
notice,material-darker,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",65000
notice,dark,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",64999
notice,horizon,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",64999
notice,darcula,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",64998
notice,solarized,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",64998
notice,light,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_7.G149,G165,G195,C15,SCR31",64994
notice,dark,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48068
notice,material-darker,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48068
notice,horizon,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48068
notice,darcula,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48068
notice,solarized,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48068
notice,light,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_5.G140,C22,C30.AALevel",48061
notice,dark,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16792
notice,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16792
notice,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16792
notice,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16792
notice,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16792
notice,light,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image,16791
notice,darcula,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12224
notice,horizon,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12223
notice,dark,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12222
notice,material-darker,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12222
notice,solarized,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12222
notice,light,htmlcs,WCAG2AA.Principle2.Guideline2_4.2_4_3.H4.2,12221
notice,darcula,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6935
notice,solarized,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6935
notice,material-darker,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6932
notice,dark,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6911
notice,horizon,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6911
notice,light,htmlcs,WCAG2AA.Principle3.Guideline3_2.3_2_1.G107,6904
notice,dark,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4460
notice,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4460
notice,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4460
notice,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4460
notice,light,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4457
notice,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_5.H98,4457
notice,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1245
notice,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1243
notice,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1243
notice,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1243
notice,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1243
notice,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_2.F23,1243
notice,dark,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",850
notice,material-darker,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",850
notice,horizon,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",850
notice,darcula,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",850
notice,solarized,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",850
notice,light,htmlcs,"WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33",848
notice,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,650
notice,dark,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,648
notice,light,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,648
notice,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,648
notice,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,648
notice,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_2.1_2_1.G158,648
warning,darcula,axe,region,3870020
warning,solarized,axe,region,3869446
warning,material-darker,axe,region,3867857
warning,light,axe,region,3866754
warning,dark,axe,region,3866699
warning,horizon,axe,region,3864033
warning,light,axe,page-has-heading-one,46546
warning,dark,axe,page-has-heading-one,46543
warning,material-darker,axe,page-has-heading-one,46543
warning,horizon,axe,page-has-heading-one,46543
warning,darcula,axe,page-has-heading-one,46543
warning,solarized,axe,page-has-heading-one,46543
warning,darcula,axe,scrollable-region-focusable,27451
warning,dark,axe,scrollable-region-focusable,27233
warning,solarized,axe,scrollable-region-focusable,27233
warning,light,axe,scrollable-region-focusable,27220
warning,material-darker,axe,scrollable-region-focusable,27190
warning,horizon,axe,scrollable-region-focusable,26979
warning,material-darker,axe,heading-order,25005
warning,dark,axe,heading-order,25003
warning,horizon,axe,heading-order,25002
warning,darcula,axe,heading-order,25002
warning,solarized,axe,heading-order,25002
warning,light,axe,heading-order,25001
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,21215702
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,14744763
warning,dark,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746873
warning,darcula,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746863
warning,horizon,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746858
warning,solarized,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746854
warning,material-darker,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746849
warning,light,htmlcs,"WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206",2746315
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,2527452
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,2526786
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,2526390
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,2526371
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,2497449
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,1284533
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,1284525
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,1283638
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,370633
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294328
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294328
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294328
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294322
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294322
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,294322
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138496
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138496
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138496
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138496
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138496
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,138475
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59209
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59207
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59207
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59207
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59207
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141,59204
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,33633
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,28102
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,28098
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,28098
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,28094
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,28092
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18483
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18479
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18474
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18464
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18459
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,18456
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3648
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3646
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3639
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3638
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3634
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,3634
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha,3622
warning,material-darker,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2884
warning,horizon,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2884
warning,darcula,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2884
warning,solarized,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2884
warning,dark,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2878
warning,light,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,2877
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,2872
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,2872
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,2872
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,2869
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,849
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,822
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,454
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,390
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,14
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,14
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,14
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha,14
warning,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,10
warning,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,10
warning,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,10
warning,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,10
warning,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,10
warning,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,2
